DATE,JTSJOR
2022-01-01,7.0
2022-02-01,7.2
2022-03-01,7.4
2022-04-01,7.2
2022-05-01,7.0
2022-06-01,6.9
2022-07-01,7.0
2022-08-01,6.2
2022-09-01,6.6
2022-10-01,6.4
2022-11-01,6.5
2022-12-01,6.7
2023-01-01,6.3
2023-02-01,6.0
2023-03-01,5.8
2023-04-01,6.0
2023-05-01,5.6
2023-06-01,5.5
2023-07-01,5.3
2023-08-01,5.6
2023-09-01,5.6
2023-10-01,5.2
2023-11-01,5.4
2023-12-01,5.3
2024-01-01,5.3
2024-02-01,5.3
2024-03-01,5.1
