DATE,JTSTSR
2022-01-01,4.2
2022-02-01,4.0
2022-03-01,4.1
2022-04-01,4.1
2022-05-01,4.0
2022-06-01,3.9
2022-07-01,3.8
2022-08-01,4.0
2022-09-01,3.8
2022-10-01,3.8
2022-11-01,3.8
2022-12-01,3.9
2023-01-01,3.9
2023-02-01,3.8
2023-03-01,3.8
2023-04-01,3.6
2023-05-01,3.8
2023-06-01,3.6
2023-07-01,3.6
2023-08-01,3.6
2023-09-01,3.5
2023-10-01,3.6
2023-11-01,3.4
2023-12-01,3.4
2024-01-01,3.5
2024-02-01,3.5
2024-03-01,3.3
