DATE,CES0500000003
2022-01-01,31.63
2022-02-01,31.65
2022-03-01,31.84
2022-04-01,31.95
2022-05-01,32.08
2022-06-01,32.20
2022-07-01,32.33
2022-08-01,32.44
2022-09-01,32.54
2022-10-01,32.70
2022-11-01,32.83
2022-12-01,32.94
2023-01-01,33.07
2023-02-01,33.15
2023-03-01,33.31
2023-04-01,33.44
2023-05-01,33.54
2023-06-01,33.70
2023-07-01,33.84
2023-08-01,33.91
2023-09-01,34.01
2023-10-01,34.10
2023-11-01,34.23
2023-12-01,34.34
2024-01-01,34.51
2024-02-01,34.56
2024-03-01,34.68
2024-04-01,34.75
