DATE,CIVPART
2022-01-01,62.2
2022-02-01,62.2
2022-03-01,62.3
2022-04-01,62.2
2022-05-01,62.3
2022-06-01,62.2
2022-07-01,62.1
2022-08-01,62.4
2022-09-01,62.3
2022-10-01,62.3
2022-11-01,62.1
2022-12-01,62.3
2023-01-01,62.4
2023-02-01,62.5
2023-03-01,62.6
2023-04-01,62.6
2023-05-01,62.6
2023-06-01,62.6
2023-07-01,62.6
2023-08-01,62.8
2023-09-01,62.8
2023-10-01,62.7
2023-11-01,62.8
2023-12-01,62.5
2024-01-01,62.5
2024-02-01,62.5
2024-03-01,62.7
2024-04-01,62.7
